joining_date,required_experience,Overall_Satisfication,Working_model,Salary
12/10/2023,Fresh graduate,Satisfied,On Site,19000
03/01/2022,More than 2 years,Satisfied,Remote,50000
02/06/2022,More than 2 years,Satisfied,On Site,115000
01/03/2021,More than 2 years,Very Satisfied,On Site,100000
03/08/2021,More than 2 years,Satisfied,On Site,47000
02/07/2021,More than 2 years,Satisfied,Hybrid,90000
04/03/2022,Less than 2 years,Dissatisfied,On Site,20000
05/07/2022,More than 2 years,Neutral,On Site,47000
10/04/2023,Less than 2 years,Satisfied,On Site,45000
05/05/2021,More than 2 years,Satisfied,On Site,50000
04/04/2021,More than 2 years,Neutral,On Site,70000
08/08/2023,Less than 2 years,Satisfied,On Site,52250
09/06/2022,More than 2 years,Satisfied,On Site,50000
11/02/2021,More than 2 years,Satisfied,On Site,43000
06/04/2020,More than 3 years,Satisfied,On Site,100000
01/05/2020,More than 3 years,Satisfied,On Site,50000
04/14/2022,More than 2 years,Neutral,On Site,45000
01/02/2023,Less than 2 years,Neutral,On Site,35000
03/08/2023,Less than 2 years,Satisfied,On Site,52000
09/06/2020,More than 3 years,Satisfied,Remote,60000
07/03/2022,More than 2 years,Satisfied,Remote,100000
01/04/2021,More than 4 years,Satisfied,On Site,100000
10/02/2022,More than 2 years,Satisfied,On Site,30000
02/04/2024,Fresh graduate,Neutral,On Site,5000
02/01/2022,More than 2 years,Satisfied,On Site,100000
11/08/2023,Less than 2 years,Neutral,On Site,40000
12/03/2024,Fresh graduate,Neutral,On Site,20500
11/06/2023,Less than 2 years,Neutral,On Site,30000
06/09/2021,More than 3 years,Satisfied,On Site,72000
04/05/2022,More than 2 years,Satisfied,On Site,45000
03/07/2023,Less than 2 years,Satisfied,On Site,45000
09/10/2023,Less than 2 years,Satisfied,On Site,45000
04/04/2021,More than 3 years,Satisfied,On Site,80000
07/03/2023,Less than 2 years,Neutral,On Site,42000
02/09/2023,Less than 2 years,Neutral,Remote,65000
05/24/2020,More than 3 years,Satisfied,On Site,90000
06/08/2022,More than 2 years,Satisfied,On Site,60000
11/01/2023,Less than 2 years,Neutral,On Site,45000
04/03/2024,Fresh graduate,Neutral,On Site,15000
06/02/2024,Fresh graduate,Very Satisfied,On Site,41000
01/01/2023,Less than 2 years,Neutral,On Site,47000
03/07/2023,Less than 2 years,Neutral,On Site,42500
07/09/2023,Less than 2 years,Neutral,Remote,42500
08/06/2023,Less than 2 years,Neutral,On Site,42000
02/06/2024,Fresh graduate,Neutral,On Site,23000
02/01/2022,More than 2 years,Neutral,On Site,75000
04/08/2018,More than 5 years,Very Satisfied,Remote,190000
11/12/2020,More than 4 years,Satisfied,Remote,145000
01/11/2022,Less than 2 years,Neutral,Remote,37000
03/05/2023,Fresh graduate,Neutral,On Site,18500
04/04/2023,Fresh graduate,Neutral,On Site,20000
01/12/2022,Less than 2 years,Neutral,On Site,24000
05/09/2023,Fresh graduate,Neutral,On Site,7000
05/09/2023,Fresh graduate,Neutral,On Site,15000
06/16/2022,Less than 2 years,Neutral,On Site,60000
08/07/2022,Fresh graduate,Neutral,On Site,15000
12/03/2023,More than 2 years,Neutral,On Site,55000
12/05/2021,More than 3 years,Neutral,Remote,100000
09/05/2023,Less than 2 years,Neutral,On Site,42500
11/08/2023,Fresh graduate,Neutral,On Site,10000
11/06/2022,Less than 2 years,Neutral,Remote,65000
02/02/2021,Less than 2 years,Neutral,On Site,37500
04/05/2022,Less than 2 years,Neutral,On Site,30000
06/05/2023,More than 2 years,Satisfied,Remote,80000
07/04/2022,Less than 2 years,Satisfied,On Site,45000
03/08/2023,Less than 2 years,Satisfied,On Site,50000
09/07/2023,Fresh graduate,Neutral,On Site,12000
08/02/2022,More than 3 years,Neutral,On Site,50000
04/09/2023,Less than 2 years,Neutral,On Site,27000
06/08/2022,Less than 2 years,Neutral,Remote,40000
06/09/2022,More than 3 years,Satisfied,Remote,70000
07/04/2021,More than 3 years,Satisfied,On Site,150000
07/04/2022,More than 4 years,Satisfied,On Site,145000
05/04/2021,More than 3 years,Satisfied,On Site,75000
04/06/2022,More than 2 years,Neutral,On Site,100000
02/01/2023,Less than 2 years,Satisfied,On Site,42500
11/08/2022,Less than 2 years,Dissatisfied,Remote,30000
09/07/2022,Less than 2 years,Satisfied,On Site,32000
08/07/2023,Less than 2 years,Satisfied,On Site,80000
07/04/2022,More than 3 years,Satisfied,On Site,100000
04/05/2023,More than 3 years,Satisfied,On Site,55000
01/02/2022,More than 4 years,Satisfied,On Site,60000
11/08/2021,More than 4 years,Satisfied,On Site,80000
10/10/2022,Less than 2 years,Satisfied,Remote,35000
08/06/2023,Less than 2 years,Satisfied,Remote,34000
02/02/2022,Less than 2 years,Satisfied,On Site,32000
08/08/2023,Less than 2 years,Satisfied,On Site,30000
12/06/2020,More than 4 years,Very Satisfied,Remote,125000
12/02/2021,More than 3 years,Satisfied,Remote,100000
01/03/2021,More than 4 years,Satisfied,Remote,175000
03/09/2022,More than 3 years,Satisfied,Remote,125000
10/10/2022,More than 3 years,Satisfied,Remote,100000
05/09/2021,More than 6 years,Satisfied,Remote,170000
09/05/2022,More than 3 years,Satisfied,Remote,100000
11/09/2021,More than 5 years,Satisfied,Remote,165000
01/11/2022,More than 5 years,Neutral,On Site,135000
01/02/2023,Less than 2 years,Satisfied,On Site,40000
01/01/2023,More than 3 years,Satisfied,On Site,70000
01/01/2022,Less than 2 years,Satisfied,On Site,55000
01/01/2023,Fresh graduate,Satisfied,Remote,15000
01/01/2022,More than 3 years,Satisfied,On Site,80000
01/01/2022,More than 3 years,Satisfied,On Site,80000
01/02/2021,Fresh graduate,Neutral,On Site,15000
01/02/2024,Fresh graduate,Satisfied,On Site,20000
01/02/2023,Less than 2 years,Dissatisfied,On Site,30000
01/02/2022,Less than 2 years,Satisfied,Remote,50000
01/02/2023,Fresh graduate,Satisfied,Remote,10000
02/01/2022,Less than 2 years,Satisfied,On Site,40000
01/02/2022,More than 4 years,Satisfied,Remote,125000
01/02/2021,More than 3 years,Satisfied,On Site,75000
01/02/2022,Less than 2 years,Satisfied,On Site,60000
01/02/2023,Fresh graduate,Neutral,On Site,10000
01/01/2023,Fresh graduate,Neutral,On Site,7000
01/02/2022,Less than 2 years,Satisfied,On Site,25000
01/01/2022,More than 3 years,Satisfied,Remote,100000
01/02/2021,More than 4 years,Satisfied,On Site,100000
02/02/2023,Less than 2 years,Neutral,On Site,30000
01/02/2022,Less than 2 years,Satisfied,On Site,60000
01/02/2023,Fresh graduate,Satisfied,On Site,26000
01/02/2024,Fresh graduate,Satisfied,On Site,20000
01/02/2023,Less than 2 years,Satisfied,On Site,38000
01/01/2022,Less than 2 years,Satisfied,On Site,40000
01/02/2022,Less than 2 years,Satisfied,Remote,35000
02/01/2022,Less than 2 years,Satisfied,Remote,38000
02/01/2022,Less than 2 years,Satisfied,On Site,80000
01/01/2023,Less than 2 years,Satisfied,On Site,50000
01/02/2022,Less than 2 years,Satisfied,Remote,60000
01/02/2023,More than 3 years,Satisfied,Remote,90000
01/02/2022,More than 2 years,Satisfied,On Site,80000
01/02/2023,More than 2 years,Satisfied,On Site,70000
01/02/2020,Less than 2 years,Satisfied,On Site,35000
01/01/2020,Less than 2 years,Satisfied,On Site,40000
01/02/2022,More than 2 years,Satisfied,On Site,42000
01/02/2023,Less than 2 years,Satisfied,On Site,80000
01/02/2022,More than 6 years,Satisfied,On Site,155000
01/02/2022,Less than 2 years,Satisfied,Remote,50000
01/03/2023,Less than 2 years,Satisfied,Remote,60000
01/01/2023,Less than 2 years,Satisfied,Remote,100000
01/02/2022,Less than 2 years,Neutral,On Site,35000
01/01/2022,More than 3 years,Satisfied,On Site,170000
01/01/2022,Less than 2 years,Satisfied,On Site,60000
01/02/2022,More than 4 years,Dissatisfied,On Site,75000
01/02/2023,Less than 2 years,Satisfied,Hybrid,100000
01/02/2021,More than 2 years,Satisfied,On Site,40000
01/02/2022,Fresh graduate,Neutral,On Site,15000
01/02/2022,More than 2 years,Satisfied,Remote,72000
02/01/2022,More than 2 years,Satisfied,On Site,48000
01/02/2023,More than 2 years,Satisfied,On Site,40000
01/02/2022,Less than 2 years,Satisfied,On Site,30000
01/01/2020,More than 5 years,Satisfied,On Site,110000
01/02/2022,Less than 2 years,Neutral,On Site,25000
01/02/2022,More than 2 years,Satisfied,On Site,37000
01/02/2022,Less than 2 years,Satisfied,Remote,90000
01/02/2023,Less than 2 years,Satisfied,On Site,70000
01/02/2023,More than 3 years,Satisfied,On Site,70000
01/02/2022,Less than 2 years,Neutral,On Site,50000
01/02/2021,More than 2 years,Neutral,On Site,45000
01/01/2023,More than 2 years,Satisfied,On Site,60000
01/01/2023,Fresh graduate,Neutral,On Site,15000
01/01/2020,More than 6 years,Satisfied,On Site,160000
01/02/2023,More than 2 years,Satisfied,On Site,60000
02/01/2023,Less than 2 years,Dissatisfied,On Site,12000
01/01/2022,Less than 2 years,Satisfied,Remote,41000
01/02/2022,More than 2 years,Satisfied,On Site,50000
01/02/2022,More than 2 years,Satisfied,On Site,50000
01/02/2023,Less than 2 years,Satisfied,Remote,100000
01/02/2023,Less than 2 years,Satisfied,On Site,45000
01/02/2022,Less than 2 years,Satisfied,On Site,30000
01/02/2022,Less than 2 years,Satisfied,On Site,55000
01/02/2023,Less than 2 years,Satisfied,On Site,62500
01/02/2022,More than 5 years,Satisfied,Remote,115000
01/01/2022,More than 2 years,Neutral,On Site,100000
01/01/2023,More than 2 years,Satisfied,On Site,85000
01/01/2022,Less than 2 years,Dissatisfied,On Site,40000
01/02/2021,Less than 2 years,Dissatisfied,On Site,70000
01/01/2023,More than 3 years,Satisfied,On Site,80000
01/02/2022,Less than 2 years,Neutral,On Site,30000
01/02/2022,Less than 2 years,Neutral,On Site,32500
01/02/2022,Less than 2 years,Neutral,On Site,20000
01/02/2021,More than 2 years,Satisfied,On Site,100000
01/03/2023,More than 3 years,Satisfied,On Site,60000
01/02/2022,More than 4 years,Neutral,On Site,80000
01/03/2023,More than 4 years,Satisfied,Remote,55000
01/02/2021,More than 6 years,Neutral,On Site,110000
01/03/2023,Fresh graduate,Neutral,On Site,8000
01/01/2024,Fresh graduate,Satisfied,On Site,12000
01/01/2022,Less than 2 years,Satisfied,On Site,60000
01/01/2023,Less than 2 years,Neutral,On Site,50000
01/02/2021,More than 5 years,Neutral,On Site,120000
01/02/2022,Less than 2 years,Satisfied,On Site,28000
01/01/2020,More than 7 years,Satisfied,On Site,125000
01/01/2023,Less than 2 years,Satisfied,On Site,27500
01/01/2023,More than 6 years,Satisfied,Remote,200000
01/02/2023,Less than 2 years,Satisfied,Remote,100000
01/02/2022,Less than 2 years,Satisfied,On Site,35000
01/02/2022,More than 2 years,Satisfied,On Site,115000
01/02/2021,More than 4 years,Neutral,On Site,80000
01/02/2022,More than 6 years,Satisfied,On Site,170000
01/02/2023,More than 2 years,Neutral,On Site,40000
01/02/2022,More than 4 years,Neutral,On Site,65000
01/02/2021,Less than 2 years,Satisfied,On Site,22000
01/02/2023,More than 3 years,Satisfied,On Site,105000
01/02/2022,More than 3 years,Satisfied,On Site,105000
01/02/2022,More than 4 years,Dissatisfied,On Site,55000
01/02/2021,Less than 2 years,Neutral,On Site,25000
01/02/2023,More than 3 years,Neutral,On Site,45000
01/02/2024,More than 2 years,Satisfied,Remote,65000
01/02/2022,More than 3 years,Satisfied,Remote,90000
01/02/2023,More than 3 years,Satisfied,On Site,80000
01/02/2022,Less than 2 years,Neutral,On Site,47500
01/02/2022,More than 2 years,Satisfied,On Site,100000
01/02/2023,More than 2 years,Satisfied,On Site,70000
01/02/2023,More than 3 years,Satisfied,On Site,90000
01/02/2021,More than 8 years,Satisfied,On Site,150000
01/02/2022,More than 3 years,Satisfied,Hybrid,100000
01/02/2023,More than 4 years,Satisfied,On Site,200000
01/02/2023,More than 2 years,Satisfied,On Site,135000
01/02/2022,More than 2 years,Neutral,On Site,40000
01/02/2021,Less than 2 years,Neutral,On Site,32500
01/02/2022,Fresh graduate,Neutral,On Site,12000
01/02/2023,More than 3 years,Neutral,On Site,75000
01/02/2023,More than 3 years,Satisfied,On Site,75000
01/02/2022,More than 7 years,Dissatisfied,On Site,145000
01/02/2021,More than 2 years,Satisfied,On Site,140000
01/02/2022,More than 5 years,Satisfied,Remote,140000
01/02/2023,More than 5 years,Neutral,On Site,190000
01/02/2022,Less than 2 years,Neutral,On Site,60000
01/02/2021,Less than 2 years,Satisfied,On Site,60000
01/02/2022,More than 2 years,Satisfied,On Site,100000
01/02/2022,Less than 2 years,Satisfied,On Site,42500
01/02/2023,More than 2 years,Satisfied,On Site,60000
01/02/2020,Less than 2 years,Satisfied,On Site,30000
01/02/2021,More than 2 years,Satisfied,On Site,40000
01/02/2022,More than 4 years,Satisfied,Remote,150000
01/02/2023,More than 2 years,Neutral,On Site,30000
01/02/2020,More than 4 years,Dissatisfied,On Site,70000
01/02/2021,Fresh graduate,Neutral,On Site,15000
01/02/2022,Fresh graduate,Satisfied,On Site,20000
01/02/2024,Less than 2 years,Satisfied,On Site,60000
01/02/2021,Fresh graduate,Dissatisfied,Remote,5000
01/02/2022,More than 2 years,Dissatisfied,On Site,60000
01/02/2023,More than 3 years,Satisfied,Remote,70000
02/01/2023,Less than 2 years,Satisfied,On Site,50000
01/02/2022,More than 2 years,Satisfied,On Site,80000
01/02/2024,Fresh graduate,Neutral,On Site,7000
01/02/2023,More than 3 years,Satisfied,On Site,80000
02/01/2022,More than 3 years,Satisfied,On Site,26000
01/02/2023,Less than 2 years,Satisfied,Remote,75000
01/02/2022,More than 5 years,Satisfied,Remote,110000